"id_local";"id_distrito_local";"desc_distrito_local";"id_barrio_local";"desc_barrio_local";"cod_barrio_local";"id_seccion_censal_local";"desc_seccion_censal_local";"coordenada_x_local";"coordenada_y_local";"id_tipo_acceso_local";"desc_tipo_acceso_local";"id_situacion_local";"desc_situacion_local";"id_vial_edificio";"clase_vial_edificio";"desc_vial_edificio";"id_ndp_edificio";"id_clase_ndp_edificio";"nom_edificio";"num_edificio";"cal_edificio";"secuencial_local_PC";"id_vial_acceso";"clase_vial_acceso";"desc_vial_acceso";"id_ndp_acceso";"id_clase_ndp_acceso";"nom_acceso";"num_acceso";"cal_acceso";"coordenada_x_agrupacion";"coordenada_y_agrupacion";"id_agrupacion";"nombre_agrupacion";"id_tipo_agrup";"desc_tipo_agrup";"id_planta_agrupado";"id_local_agrupado";"rotulo";"id_seccion";"desc_seccion";"id_division";"desc_division";"id_epigrafe";"desc_epigrafe";"fx_carga"
10000097;1;"CENTRO              ";104;"JUSTICIA            ";4;1077;77;440851.59;4474857.52;1;"Puerta Calle";1;"Abierto";81800;"CALLE                   ";"AUGUSTO FIGUEROA                                  ";11004589;1;"NUM";"000037";"  ";20;437400;"CALLE                   ";"LIBERTAD                                          ";11004588;1;"NUM";"000031";"  ";"";"";"";"";"";"";"1";"02";"GRACIAS, PADRE";"I";"HOSTELERÍA";"56";"SERVICIOS DE COMIDAS Y BEBIDAS";"561001";"RESTAURANTE";"31/07/2026"
10000150;1;"CENTRO              ";106;"SOL                 ";6;1121;121;440044.59;4474063.53;1;"Puerta Calle";1;"Abierto";498000;"PLAZA                   ";"MAYOR                                             ";11007683;1;"NUM";"000001";"  ";10;498000;"PLAZA                   ";"MAYOR                                             ";11007683;1;"NUM";"000001";"  ";"";"";"";"";"";"";"1";"04";"CAFE LOS ARCOS BAR";"I";"HOSTELERÍA";"56";"SERVICIOS DE COMIDAS Y BEBIDAS";"561005";"BAR CON COCINA";"31/07/2026"
10000224;1;"CENTRO              ";102;"EMBAJADORES         ";2;1035;35;0.0;0.0;0;"Agrupado";1;"Abierto";262000;"CALLE                   ";"EMBAJADORES                                       ";11002143;1;"NUM";"000041";"  ";0;262000;"CALLE                   ";"EMBAJADORES                                       ";11002143;1;"NUM";"000041";"  ";440295.59;4473246.53;99000057;"MERCADO MUNICIPAL DE SAN FERNANDO";12;"Mercado Municipal";"1";"01";"PAIS DE LOS CEVICHES L01/ANTIGUO PUESTO 70";"G";"COMERCIO AL POR MAYOR Y AL POR MENOR; REPARACIÓN DE VEHÍCULOS DE MOTOR Y MOTOCICLETAS";"47";"COMERCIO AL POR MENOR, EXCEPTO DE VEHÍCULOS DE MOTOR Y MOTOCICLETAS";"472201";"COMERCIO AL POR MENOR DE CARNICERIA";"31/07/2026"
10000226;1;"CENTRO              ";102;"EMBAJADORES         ";2;1059;59;0.0;0.0;0;"Agrupado";4;"Cerrado";253200;"CALLE                   ";"DUQUE DE FERNAN NUÑEZ                             ";20004950;1;"NUM";"000004";"  ";0;253200;"CALLE                   ";"DUQUE DE FERNAN NUÑEZ                             ";20004950;1;"NUM";"000004";"  ";440706.59;4473659.52;99000065;"MERCADO MUNICIPAL ANTON MARTIN";12;"Mercado Municipal";"1";"40";"CARNICERIA M LOPEZ";"G";"COMERCIO AL POR MAYOR Y AL POR MENOR; REPARACIÓN DE VEHÍCULOS DE MOTOR Y MOTOCICLETAS";"47";"COMERCIO AL POR MENOR, EXCEPTO DE VEHÍCULOS DE MOTOR Y MOTOCICLETAS";"472201";"COMERCIO AL POR MENOR DE CARNICERIA";"31/07/2026"
10000258;1;"CENTRO              ";106;"SOL                 ";6;1123;123;440127.59;4474277.53;1;"Puerta Calle";1;"Abierto";68300;"CALLE                   ";"ARENAL                                            ";11007805;1;"NUM";"000007";"  ";20;68300;"CALLE                   ";"ARENAL                                            ";11007805;1;"NUM";"000007";"  ";"";"";"";"";"";"";"1";"02";"EL PATIO";"G";"COMERCIO AL POR MAYOR Y AL POR MENOR; REPARACIÓN DE VEHÍCULOS DE MOTOR Y MOTOCICLETAS";"47";"COMERCIO AL POR MENOR, EXCEPTO DE VEHÍCULOS DE MOTOR Y MOTOCICLETAS";"471902";"COMERCIO AL POR MENOR DE PRODUCTOS DE PRECIO UNICO, BAZARES Y ASIMILABLES";"31/07/2026"
10000264;1;"CENTRO              ";106;"SOL                 ";6;1124;124;440226.59;4474520.53;1;"Puerta Calle";1;"Abierto";505100;"CALLE                   ";"MESONERO ROMANOS                                  ";11007866;1;"NUM";"000004";"  ";10;505100;"CALLE                   ";"MESONERO ROMANOS                                  ";11007866;1;"NUM";"000004";"  ";"";"";"";"";"";"";"1";"DR";"VALDEMESO";"I";"HOSTELERÍA";"56";"SERVICIOS DE COMIDAS Y BEBIDAS";"561004";"BAR RESTAURANTE";"31/07/2026"
10000275;1;"CENTRO              ";101;"PALACIO             ";1;1008;8;0.0;0.0;0;"Agrupado";1;"Abierto";679700;"PLAZA                   ";"SAN MIGUEL                                        ";31023565;1;"NUM";"000011";"  ";0;679700;"PLAZA                   ";"SAN MIGUEL                                        ";31023565;1;"NUM";"000011";"  ";439828.59;4474102.53;99000066;"MERCADO DE SAN MIGUEL";1;"Centro Comercial";"1";"20";"MYA QUESOS ARTESANOS / PTOS 20 Y 21";"G";"COMERCIO AL POR MAYOR Y AL POR MENOR; REPARACIÓN DE VEHÍCULOS DE MOTOR Y MOTOCICLETAS";"47";"COMERCIO AL POR MENOR, EXCEPTO DE VEHÍCULOS DE MOTOR Y MOTOCICLETAS";"472202";"COMERCIO AL POR MENOR DE CHARCUTERIA";"31/07/2026"
10000284;1;"CENTRO              ";103;"CORTES              ";3;1065;65;440755.59;4473926.52;1;"Puerta Calle";1;"Abierto";441000;"CALLE                   ";"LOPE DE VEGA                                      ";11003525;1;"NUM";"000009";"  ";10;441000;"CALLE                   ";"LOPE DE VEGA                                      ";11003525;1;"NUM";"000009";"  ";"";"";"";"";"";"";"1";"01";"RESTAURANTE DAR MONA";"I";"HOSTELERÍA";"56";"SERVICIOS DE COMIDAS Y BEBIDAS";"561001";"RESTAURANTE";"31/07/2026"
10000003;1;"CENTRO              ";104;"JUSTICIA            ";4;1088;88;440554.59;4475338.53;1;"Puerta Calle";1;"Abierto";92900;"CALLE                   ";"BARCELO                                           ";11005235;1;"NUM";"000005";"  ";10;92900;"CALLE                   ";"BARCELO                                           ";11005235;1;"NUM";"000005";"  ";"";"";"";"";"";"";"1";"03";"VITACA";"I";"HOSTELERÍA";"56";"SERVICIOS DE COMIDAS Y BEBIDAS";"561004";"BAR RESTAURANTE";"31/07/2026"
10000004;1;"CENTRO              ";105;"UNIVERSIDAD         ";5;1106;106;439945.6;4475591.53;1;"Puerta Calle";1;"Abierto";4700;"CALLE                   ";"ACUERDO                                           ";11006452;1;"NUM";"000031";"  ";10;4700;"CALLE                   ";"ACUERDO                                           ";11006452;1;"NUM";"000031";"  ";"";"";"";"";"";"";"1";"02";"ZAATAR & CO";"I";"HOSTELERÍA";"56";"SERVICIOS DE COMIDAS Y BEBIDAS";"561001";"RESTAURANTE";"31/07/2026"
10000013;1;"CENTRO              ";102;"EMBAJADORES         ";2;1058;58;441199.58;4473326.52;1;"Puerta Calle";1;"Abierto";264800;"PLAZA                   ";"EMPERADOR CARLOS V                                ";11003119;1;"NUM";"000008";"  ";20;264800;"PLAZA                   ";"EMPERADOR CARLOS V                                ";11003119;1;"NUM";"000008";"  ";"";"";"";"";"";"";"1";"07";"HOTEL MEDIODIA";"I";"HOSTELERÍA";"56";"SERVICIOS DE COMIDAS Y BEBIDAS";"561006";"CAFETERIA";"31/07/2026"
10000013;1;"CENTRO              ";102;"EMBAJADORES         ";2;1058;58;441199.58;4473326.52;1;"Puerta Calle";1;"Abierto";264800;"PLAZA                   ";"EMPERADOR CARLOS V                                ";11003119;1;"NUM";"000008";"  ";20;264800;"PLAZA                   ";"EMPERADOR CARLOS V                                ";11003119;1;"NUM";"000008";"  ";"";"";"";"";"";"";"1";"07";"HOTEL MEDIODIA";"I";"HOSTELERÍA";"55";"SERVICIOS DE ALOJAMIENTO";"551002";"HOTELES Y MOTELES SIN RESTAURANTE";"31/07/2026"
10000044;1;"CENTRO              ";101;"PALACIO             ";1;1014;14;439722.59;4473550.53;1;"Puerta Calle";4;"Cerrado";369700;"CALLE                   ";"HUMILLADERO                                       ";11000878;1;"NUM";"000016";"  ";10;369700;"CALLE                   ";"HUMILLADERO                                       ";11000878;1;"NUM";"000016";"  ";"";"";"";"";"";"";"1";" ";"V.M. VINOMANIA";"G";"COMERCIO AL POR MAYOR Y AL POR MENOR; REPARACIÓN DE VEHÍCULOS DE MOTOR Y MOTOCICLETAS";"47";"COMERCIO AL POR MENOR, EXCEPTO DE VEHÍCULOS DE MOTOR Y MOTOCICLETAS";"472502";"COMERCIO AL POR MENOR DE VINOS Y ALCOHOLES (BODEGA) SIN CONSUMO";"31/07/2026"
10000052;1;"CENTRO              ";104;"JUSTICIA            ";4;1082;82;440875.59;4475142.52;1;"Puerta Calle";1;"Abierto";678900;"TRAVESIA                ";"SAN MATEO                                         ";11005006;1;"NUM";"000017";"  ";10;576200;"CALLE                   ";"PELAYO                                            ";11004968;1;"NUM";"000057";"  ";"";"";"";"";"";"";"1";"IZ";"MUNE";"I";"HOSTELERÍA";"56";"SERVICIOS DE COMIDAS Y BEBIDAS";"561004";"BAR RESTAURANTE";"31/07/2026"
10000071;1;"CENTRO              ";106;"SOL                 ";6;1119;119;440388.59;4474077.53;1;"Puerta Calle";1;"Abierto";93000;"CALLE                   ";"BARCELONA                                         ";11007454;1;"NUM";"000012";"  ";10;93000;"CALLE                   ";"BARCELONA                                         ";11007454;1;"NUM";"000012";"  ";"";"";"";"";"";"";"1";"IZ";"LA DESCUBIERTA";"I";"HOSTELERÍA";"56";"SERVICIOS DE COMIDAS Y BEBIDAS";"561006";"CAFETERIA";"31/07/2026"
10000071;1;"CENTRO              ";106;"SOL                 ";6;1119;119;440388.59;4474077.53;1;"Puerta Calle";1;"Abierto";93000;"CALLE                   ";"BARCELONA                                         ";11007454;1;"NUM";"000012";"  ";10;93000;"CALLE                   ";"BARCELONA                                         ";11007454;1;"NUM";"000012";"  ";"";"";"";"";"";"";"1";"IZ";"LA DESCUBIERTA";"I";"HOSTELERÍA";"56";"SERVICIOS DE COMIDAS Y BEBIDAS";"561001";"RESTAURANTE";"31/07/2026"
